GKZ;Gebietsname;Wahlberechtigte;Wahlbeteiligung in %;Stimmen;Ungültig;Gültig;ÖVP;%;SPÖ;%;FPÖ;%;GRÜNE;%;BZÖ;%;NEOS;%;REKOS;%;ANDERS;%;EUSTOP;%;;;;abgegeben;ungültig;gültig
G00000;Österrreich;6410602;45,39%;2909497;85936;2823561;761896;26,98%;680180;24,09%;556835;19,72%;410089;14,52%;13208;0,47%;229781;8,14%;33224;1,18%;60451;2,14%;77897;2,76%;;;;;;
G10000;Burgenland;233920;53,66%;125533;5189;120344;37331;31,02%;40361;33,54%;21446;17,82%;9686;8,05%;280;0,23%;5955;4,95%;916;0,76%;1393;1,16%;2976;2,47%;;;;;;
G1A000;Burgenland Nord;122224;53,29%;65136;2655;62481;18266;29,23%;20740;33,19%;11485;18,38%;5581;8,93%;154;0,25%;3341;5,35%;493;0,79%;781;1,25%;1640;2,62%;;;;;;
G1A099;Wahlkarten - Burgenland Nord;0;;4902;113;4789;1342;28,02%;1648;34,41%;632;13,20%;570;11,90%;12;0,25%;366;7,64%;37;0,77%;63;1,32%;119;2,48%;;;;;;
G1B000;Burgenland Süd;111696;54,07%;60397;2534;57863;19065;32,95%;19621;33,91%;9961;17,21%;4105;7,09%;126;0,22%;2614;4,52%;423;0,73%;612;1,06%;1336;2,31%;;;;;;
G1B099;Wahlkarten - Burgenland Süd;0;;5259;113;5146;1674;32,53%;1621;31,50%;617;11,99%;603;11,72%;10;0,19%;385;7,48%;31;0,60%;81;1,57%;124;2,41%;;;;;;
G10099;Wahlkarten - Burgenland;0;;10161;226;9935;3016;30,36%;3269;32,90%;1249;12,57%;1173;11,81%;22;0,22%;751;7,56%;68;0,68%;144;1,45%;243;2,45%;;;;;;
G10100;Eisenstadt(Stadt);10479;54,21%;5681;167;5514;2111;38,28%;1126;20,42%;806;14,62%;777;14,09%;15;0,27%;422;7,65%;60;1,09%;73;1,32%;124;2,25%;;;;;;
G10101;Eisenstadt;10479;48,54%;5087;157;4930;1883;38,19%;986;20,00%;746;15,13%;691;14,02%;12;0,24%;375;7,61%;57;1,16%;68;1,38%;112;2,27%;;;;;;
G10199;Wahlkarten - Eisenstadt(Stadt);0;;594;10;584;228;39,04%;140;23,97%;60;10,27%;86;14,73%;3;0,51%;47;8,05%;3;0,51%;5;0,86%;12;2,05%;;;;;;
G10200;Rust(Stadt);1571;55,44%;871;42;829;222;26,78%;293;35,34%;148;17,85%;80;9,65%;4;0,48%;46;5,55%;1;0,12%;7;0,84%;28;3,38%;;;;;;
G10201;Rust;1571;49,08%;771;42;729;197;27,02%;261;35,80%;134;18,38%;61;8,37%;4;0,55%;38;5,21%;1;0,14%;7;0,96%;26;3,57%;;;;;;
G10299;Wahlkarten - Rust(Stadt);0;;100;0;100;25;25,00%;32;32,00%;14;14,00%;19;19,00%;0;0,00%;8;8,00%;0;0,00%;0;0,00%;2;2,00%;;;;;;
