spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;bzoe;neos;rekos;anders;eustop
G00000;2909497;85936;2823561;761896;680180;556835;410089;13208;229781;33224;60451;77897
G10000;125533;5189;120344;37331;40361;21446;9686;280;5955;916;1393;2976
G1A000;65136;2655;62481;18266;20740;11485;5581;154;3341;493;781;1640
G1A099;4902;113;4789;1342;1648;632;570;12;366;37;63;119
G1B000;60397;2534;57863;19065;19621;9961;4105;126;2614;423;612;1336
G1B099;5259;113;5146;1674;1621;617;603;10;385;31;81;124
G10099;10161;226;9935;3016;3269;1249;1173;22;751;68;144;243
G10100;5681;167;5514;2111;1126;806;777;15;422;60;73;124
G10101;5087;157;4930;1883;986;746;691;12;375;57;68;112
G10199;594;10;584;228;140;60;86;3;47;3;5;12
G10200;871;42;829;222;293;148;80;4;46;1;7;28
G10201;771;42;729;197;261;134;61;4;38;1;7;26
G10299;100;0;100;25;32;14;19;0;8;0;0;2
G10300;18872;839;18033;5081;6383;3118;1591;42;940;155;209;514
G10301;771;37;734;186;243;123;98;1;43;8;14;18
G10302;750;21;729;290;183;128;54;1;34;8;13;18
G10303;761;40;721;219;206;128;71;3;51;11;8;24
G10304;1037;43;994;193;357;204;107;2;53;14;10;54
G10305;516;13;503;142;260;60;14;0;13;3;3;8
G10306;553;25;528;265;101;70;44;3;27;3;6;9
G10307;809;24;785;184;283;190;46;3;33;10;13;23
G10308;643;37;606;116;226;117;61;3;46;7;8;22
G10309;1256;62;1194;177;480;283;109;3;72;0;20;50
G10310;901;56;845;278;305;148;38;1;29;10;7;29
G10311;653;34;619;212;241;70;54;0;18;6;3;15
G10312;1130;45;1085;419;247;214;109;1;54;6;13;22
G10313;1181;45;1136;457;294;208;83;5;56;11;5;17
G10314;629;47;582;248;149;78;49;1;42;5;2;8
G10315;1273;67;1206;161;636;172;128;4;52;7;13;33
G10316;1065;41;1024;228;417;200;69;5;58;3;10;34
G10317;900;31;869;213;391;116;66;1;43;7;13;19
G10318;506;29;477;125;119;134;35;1;27;3;9;24
G10319;806;45;761;209;284;89;101;0;36;6;14;22
G10320;187;7;180;55;60;34;15;0;5;1;1;9
G10321;293;14;279;117;81;36;23;1;7;3;3;8
G10322;378;12;366;93;134;58;38;1;24;2;4;12
G10323;463;24;439;132;178;68;29;0;13;9;5;5
G10399;1411;40;1371;362;508;190;150;2;104;12;12;31
G10400;12305;553;11752;4214;3850;1943;759;24;504;72;115;271
G10401;346;22;324;82;138;59;20;0;14;0;1;10
G10402;536;17;519;175;147;89;41;0;35;4;10;18
G10403;473;25;448;229;100;71;24;1;11;1;2;9
G10404;494;17;477;220;138;59;32;0;13;0;8;7
G10405;1413;64;1349;469;477;208;86;4;52;11;10;32
G10406;435;30;405;202;108;50;25;1;8;0;4;7
G10407;380;16;364;170;99;49;23;0;18;2;2;1
G10408;718;28;690;219;169;167;59;2;44;4;6;20
G10409;430;26;404;155;124;58;26;0;16;7;6;12
G10410;194;4;190;25;92;44;13;1;5;0;0;10
G10411;625;39;586;72;299;110;35;2;28;7;9;24
G10412;515;17;498;185;167;80;31;0;12;2;4;17
G10413;415;22;393;138;107;86;26;0;20;0;3;13
G10414;985;28;957;268;334;185;68;3;52;13;11;23
G10415;547;23;524;155;268;35;31;2;15;1;10;7
G10416;402;30;372;177;84;74;12;2;17;0;0;6
G10417;529;34;495;211;97;125;29;1;17;2;6;7
G10418;186;12;174;75;63;20;5;0;5;1;1;4
G10419;205;4;201;65;75;23;15;0;14;1;2;6
G10420;113;4;109;55;36;4;7;0;3;3;0;1
G10421;156;5;151;30;86;22;4;0;6;0;0;3
G10422;103;4;99;35;38;17;4;0;3;0;0;2
G10423;19;0;19;3;14;1;0;0;0;1;0;0
G10424;128;10;118;39;37;32;1;0;4;3;0;2
G10425;177;11;166;42;63;39;7;0;7;2;3;3
G10426;227;11;216;142;26;30;10;1;3;1;2;1
G10427;249;13;236;49;110;59;7;3;2;0;0;6
G10428;220;10;210;113;47;34;12;0;0;2;0;2
G10499;1085;27;1058;414;307;113;106;1;80;4;15;18
G10500;7216;320;6896;2111;1973;1546;590;18;349;38;106;165
G10501;658;22;636;125;237;164;56;0;24;4;15;11
G10502;377;20;357;107;102;91;22;1;14;3;6;11
G10503;425;12;413;126;148;96;22;3;11;0;4;3
G10504;1438;85;1353;474;226;393;113;7;83;6;15;36
G10505;410;14;396;99;120;112;31;4;21;3;1;5
G10506;463;22;441;128;162;79;40;0;12;4;4;12
G10507;331;18;313;125;68;69;18;0;17;3;3;10
G10508;814;34;780;244;247;128;77;0;51;2;17;14
G10509;972;38;934;289;277;185;80;2;41;7;20;33
G10510;265;15;250;106;54;53;21;0;4;3;3;6
G10511;278;20;258;77;91;57;14;1;6;3;4;5
G10512;160;4;156;26;83;30;8;0;6;0;1;2
G10599;625;16;609;185;158;89;88;0;59;0;13;17
G10600;16654;687;15967;4040;6027;2975;1394;36;845;98;196;356
G10601;540;21;519;87;297;69;34;3;13;3;2;11
G10602;1060;30;1030;310;335;220;70;3;50;8;12;22
G10603;455;23;432;48;256;60;37;1;15;1;4;10
G10604;477;25;452;71;206;104;36;0;21;2;6;6
G10605;886;53;833;305;252;156;63;1;38;2;5;11
G10606;2375;118;2257;589;737;422;245;3;154;15;29;63
G10607;1450;66;1384;244;507;345;102;7;102;14;21;42
G10608;285;6;279;95;86;42;28;0;15;3;5;5
G10609;1227;38;1189;245;426;223;146;3;73;7;30;36
G10610;1154;51;1103;294;467;217;65;0;32;6;10;12
G10611;751;18;733;143;209;177;111;3;55;5;12;18
G10612;1170;65;1105;147;655;163;65;0;39;3;4;29
G10613;506;22;484;190;147;102;11;2;18;3;5;6
G10614;578;26;552;114;240;86;49;3;27;8;7;18
G10615;904;33;871;306;162;228;80;2;51;5;15;22
G10616;376;19;357;125;98;94;16;1;12;0;4;7
G10617;403;10;393;83;196;48;40;1;19;3;1;2
G10618;532;22;510;240;155;48;30;0;26;0;2;9
G10619;291;10;281;119;86;39;20;1;9;0;5;2
G10699;1234;31;1203;285;510;132;146;2;76;10;17;25
G10700;23058;920;22138;6812;6911;4438;1739;57;1088;179;296;618
G10701;998;22;976;290;441;167;28;0;18;3;5;24
G10702;706;31;675;272;214;125;22;1;20;5;6;10
G10703;1017;43;974;127;287;284;128;0;77;3;26;42
G10704;259;15;244;73;73;69;8;0;8;0;1;12
G10705;1121;56;1065;276;430;203;68;2;41;11;17;17
G10706;462;26;436;162;143;84;19;0;7;2;4;15
G10707;1420;83;1337;328;421;303;126;5;71;4;13;66
G10708;849;37;812;351;207;157;46;1;31;4;6;9
G10709;1137;61;1076;382;334;214;61;3;34;7;11;30
G10710;628;15;613;213;173;103;41;2;33;7;14;27
G10711;680;22;658;221;203;154;24;1;18;4;10;23
G10712;789;30;759;307;194;156;47;5;20;10;5;15
G10713;2636;97;2539;778;613;438;364;6;209;21;51;59
G10714;647;28;619;124;209;151;68;3;22;5;14;23
G10715;500;12;488;212;195;45;13;0;9;1;5;8
G10716;562;17;545;212;189;75;18;1;23;6;6;15
G10717;1062;29;1033;162;364;285;83;4;60;14;25;36
G10718;894;54;840;363;163;149;72;7;47;10;9;20
G10719;612;19;593;249;184;65;37;3;18;15;2;20
G10720;601;12;589;253;187;79;25;1;28;2;5;9
G10721;702;34;668;191;266;127;38;0;18;3;4;21
G10722;971;38;933;291;212;230;103;2;56;14;5;20
G10723;476;23;453;84;188;93;29;1;22;5;10;21
G10724;905;47;858;134;325;259;66;3;42;6;10;13
G10725;306;18;288;125;82;52;16;1;7;0;2;3
G10726;253;9;244;45;98;76;9;0;10;0;1;5
G10727;302;10;292;145;58;59;11;0;8;5;0;6
G10799;1563;32;1531;442;458;236;169;5;131;12;29;49
G10800;18786;763;18023;6328;6615;2484;1108;28;732;154;138;436
G10801;1159;40;1119;496;335;153;53;1;52;7;5;17
G10802;781;40;741;342;229;80;40;1;29;6;5;9
G10803;581;19;562;290;156;44;42;1;13;1;4;11
G10804;637;23;614;279;188;67;45;0;18;3;7;7
G10805;822;33;789;313;250;121;34;1;28;22;2;18
G10806;299;14;285;59;135;53;13;2;7;1;5;10
G10807;933;42;891;202;399;144;59;1;38;4;10;34
G10808;441;27;414;106;167;87;17;0;20;0;6;11
G10809;866;38;828;267;278;148;66;4;40;2;7;16
G10810;373;19;354;127;111;55;33;2;14;3;1;8
G10811;829;40;789;238;303;159;35;1;19;8;4;22
G10812;581;30;551;197;196;74;36;0;14;4;6;24
G10813;817;25;792;319;275;75;35;1;47;25;5;10
G10814;646;33;613;165;334;59;15;1;13;3;3;20
G10815;773;34;739;340;250;64;42;1;19;3;6;14
G10816;998;41;957;320;249;152;128;1;61;16;8;22
G10817;759;34;725;369;207;71;32;0;28;5;3;10
G10818;397;11;386;119;157;49;28;1;14;3;6;9
G10819;375;14;361;132;154;51;9;0;9;2;0;4
G10820;430;11;419;87;189;71;33;0;23;3;2;11
G10821;652;34;618;202;199;95;48;3;38;6;3;24
G10822;679;29;650;151;285;118;41;1;28;1;5;20
G10823;873;43;830;135;439;163;36;1;25;2;9;20
G10824;271;9;262;73;116;37;5;0;6;5;3;17
G10825;314;17;297;115;114;37;8;0;9;3;5;6
G10826;330;11;319;144;91;43;9;1;11;1;0;19
G10827;216;7;209;72;101;20;10;0;2;0;1;3
G10828;395;16;379;138;152;50;15;0;20;1;0;3
G10899;1559;29;1530;531;556;144;141;3;87;14;17;37
G10900;22090;898;21192;6412;7183;3988;1648;56;1029;159;253;464
G10901;609;13;596;221;114;127;59;0;52;6;3;14
G10902;1068;55;1013;266;448;190;47;2;38;4;4;14
G10903;587;35;552;276;83;111;23;3;32;4;4;16
G10904;546;39;507;129;254;75;13;0;15;5;3;13
G10905;1210;38;1172;331;459;198;67;4;54;12;20;27
G10906;347;25;322;110;114;59;19;0;17;0;1;2
G10907;489;22;467;53;184;130;41;2;19;6;11;21
G10908;620;36;584;203;188;114;34;1;23;4;6;11
G10909;411;14;397;105;108;102;38;2;14;3;9;16
G10910;524;14;510;151;228;95;14;0;8;2;3;9
G10911;486;23;463;111;169;119;31;1;18;2;3;9
G10912;734;37;697;182;172;152;88;2;58;3;12;28
G10913;289;13;276;100;99;46;11;1;7;1;4;7
G10914;684;24;660;253;238;103;28;0;20;3;2;13
G10915;362;20;342;89;137;62;17;0;15;8;6;8
G10916;984;46;938;324;237;169;117;3;42;12;14;20
G10917;2051;88;1963;534;621;416;203;6;98;18;34;33
G10918;1825;69;1756;506;521;349;180;3;106;27;24;40
G10919;1027;38;989;232;385;252;57;4;36;4;5;14
G10920;623;30;593;99;269;129;45;3;38;3;4;3
G10921;618;35;583;142;248;92;39;1;28;5;11;17
G10922;321;14;307;136;73;50;23;0;13;2;1;9
G10923;694;17;677;206;251;141;34;3;18;3;6;15
G10924;577;28;549;199;230;68;16;0;17;1;5;13
G10925;321;11;310;147;85;42;17;1;10;0;1;7
G10926;326;7;319;147;72;50;26;0;10;3;6;5
G10927;463;16;447;192;138;79;22;2;9;0;3;2
G10928;466;13;453;168;143;64;34;1;25;3;5;10
G10929;264;9;255;51;119;48;10;3;14;1;2;7
G10930;282;15;267;83;95;54;14;1;10;1;5;4
G10931;133;5;128;69;34;21;3;1;0;0;0;0
G10932;159;8;151;53;67;10;10;0;6;0;0;5
G10999;1990;41;1949;544;600;271;268;6;159;13;36;52
G20000;173654;5288;168366;33586;55158;34002;20987;2391;11035;1853;2369;6985
G2A000;48484;1425;47059;8739;14623;8355;7969;636;3435;506;895;1901
G2A099;5251;80;5171;1116;1468;656;1016;56;554;50;91;164
G2B000;39360;1128;38232;5597;13499;8218;5044;615;2604;373;559;1723
G2B099;3714;66;3648;574;1198;568;632;64;376;37;73;126
G2C000;39672;1270;38402;9216;11678;8130;3869;514;2496;501;405;1593
G2C099;4626;84;4542;951;1397;678;697;59;466;56;69;169
G2D000;46138;1465;44673;10034;15358;9299;4105;626;2500;473;510;1768
G2D099;4499;90;4409;974;1434;655;585;58;394;57;67;185
G20099;18090;320;17770;3615;5497;2557;2930;237;1790;200;300;644
G20100;29213;812;28401;4932;8478;5012;5419;323;2151;318;633;1135
G20101;26177;765;25412;4298;7651;4652;4767;300;1828;291;579;1046
G20199;3036;47;2989;634;827;360;652;23;323;27;54;89
G20200;18584;453;18131;2444;6297;3837;2680;235;1313;187;301;837
G20201;16991;438;16553;2191;5775;3622;2380;214;1127;178;272;794
G20299;1593;15;1578;253;522;215;300;21;186;9;29;43
G20300;7006;267;6739;2124;2082;1160;620;77;374;74;52;176
G20302;410;17;393;150;111;47;36;5;16;10;3;15
G20305;2322;101;2221;606;719;441;222;22;131;14;18;48
G20306;864;33;831;300;223;151;60;15;47;10;6;19
G20307;1074;43;1031;362;271;168;102;15;61;14;6;32
G20316;568;21;547;130;231;93;39;3;17;2;3;29
G20320;472;13;459;116;137;139;26;3;17;4;3;14
G20321;554;26;528;296;126;35;25;4;17;17;3;5
G20399;742;13;729;164;264;86;110;10;68;3;10;14
G20400;19271;613;18658;3807;6145;3343;2550;313;1284;188;262;766
G20402;2070;62;2008;245;812;448;208;32;94;16;33;120
G20403;780;27;753;133;354;81;88;10;48;7;6;26
G20405;2344;107;2237;303;963;417;213;48;115;32;41;105
G20409;696;21;675;227;178;114;59;26;27;8;12;24
G20412;767;20;747;139;236;121;130;25;41;8;10;37
G20414;934;33;901;214;294;167;123;10;45;6;16;26
G20415;999;21;978;236;222;169;209;13;90;10;13;16
G20416;549;9;540;98;205;81;93;7;34;1;4;17
G20417;662;28;634;137;165;131;106;6;41;4;7;37
G20418;1244;32;1212;283;313;220;231;15;77;12;16;45
G20419;375;4;371;93;83;62;67;4;41;1;5;15
G20421;1316;52;1264;298;358;238;191;14;93;13;14;45
G20424;747;16;731;232;150;124;96;11;84;9;6;19
G20425;945;59;886;180;302;174;79;16;53;12;11;59
G20428;273;5;268;72;98;40;23;11;12;2;2;8
G20432;625;19;606;115;176;131;85;8;49;3;11;28
G20435;496;12;484;107;167;109;57;5;16;5;2;16
G20441;242;5;237;27;121;14;26;2;37;3;2;5
G20442;992;48;944;186;307;206;102;17;56;13;14;43
G20499;2215;33;2182;482;641;296;364;33;231;23;37;75
G20500;17288;522;16766;3639;5389;3951;1597;283;892;188;207;620
G20501;1341;48;1293;221;484;300;137;17;60;16;19;39
G20502;811;43;768;131;322;165;61;15;39;7;4;24
G20503;218;7;211;55;53;71;8;3;10;0;1;10
G20504;350;14;336;85;84;91;20;22;9;4;5;16
G20505;1268;44;1224;267;358;331;100;38;42;13;14;61
G20506;255;13;242;73;65;67;11;2;13;4;2;5
G20508;443;8;435;146;102;136;25;3;13;0;1;9
G20509;450;7;443;109;141;89;48;5;26;2;1;22
G20511;505;15;490;68;213;139;20;12;15;4;7;12
