spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;kpoe;gvp;rwa;lif
101;277;1;276;82;48;16;36;91;0;2;1
102;245;1;244;90;40;23;32;56;0;3;0
103;255;0;255;90;42;38;14;70;1;0;0
104;211;3;208;80;34;14;28;48;3;0;1
105;247;1;246;99;30;25;19;67;2;0;4
106;226;0;226;93;31;23;14;61;1;1;2
107;239;4;235;95;39;15;29;55;0;0;2
201;246;7;239;103;45;20;17;52;0;0;2
202;243;11;232;112;30;11;21;55;1;0;2
203;305;16;289;125;64;27;22;47;1;0;3
204;263;4;259;99;62;14;23;58;2;0;1
205;294;0;294;110;76;15;30;59;1;0;3
206;278;0;278;86;55;22;33;75;3;0;4
207;238;0;238;127;29;17;27;37;1;0;0
208;254;1;253;91;44;27;36;55;0;0;0
209;265;0;265;98;41;25;37;60;0;3;1
210;276;16;260;85;46;22;37;68;2;0;0
211;293;3;290;104;42;27;39;75;1;0;2
212;232;1;231;90;30;21;46;43;0;1;0
213;277;1;276;98;40;22;37;77;1;0;1
214;252;1;251;91;34;13;37;74;1;0;1
215;298;0;298;115;43;36;36;66;2;0;0
216;264;1;263;103;34;21;40;57;3;1;4
217;303;4;299;104;53;20;53;67;1;0;1
218;225;3;222;88;36;19;31;47;1;0;0
219;245;3;242;102;46;20;16;56;0;2;0
220;253;1;252;109;34;44;28;36;1;0;0
221;251;1;250;97;36;21;38;57;0;0;1
222;224;0;224;81;40;25;26;50;2;0;0
223;227;2;225;96;28;25;25;49;0;1;1
224;318;1;317;150;33;29;39;64;1;0;1
225;184;2;182;98;24;12;23;23;1;1;0
301;261;2;259;118;42;25;33;38;1;1;1
302;264;0;264;128;40;33;20;41;1;1;0
303;284;0;284;150;29;23;35;43;1;1;2
304;331;12;319;125;60;42;33;54;3;1;1
305;255;2;253;123;33;13;33;51;0;0;0
306;221;1;220;92;43;22;28;33;1;0;1
307;269;4;265;112;33;24;36;56;3;1;0
308;205;0;205;88;22;24;19;49;1;0;2
309;245;9;236;112;32;16;25;48;3;0;0
310;221;0;221;83;35;16;31;47;4;1;4
311;222;0;222;101;26;20;41;33;0;0;1
312;216;2;214;96;25;17;33;40;1;0;2
313;221;4;217;96;27;19;36;36;2;1;0
314;314;2;312;141;48;19;44;55;3;1;1
315;288;2;286;109;30;36;46;62;0;0;3
316;219;1;218;109;40;18;15;33;1;2;0
317;284;6;278;123;32;26;38;59;0;0;0
318;248;2;246;97;32;25;37;52;0;0;3
319;216;2;214;77;50;18;29;37;1;0;2
320;258;2;256;76;50;25;31;74;0;0;0
321;281;14;267;130;18;26;29;57;0;2;5
322;213;1;212;113;37;15;17;30;0;0;0
323;233;3;230;108;20;24;36;42;0;0;0
324;227;2;225;85;57;18;15;50;0;0;0
325;237;1;236;142;15;14;24;34;2;0;5
326;126;2;124;49;42;7;14;12;0;0;0
327;232;1;231;102;25;18;34;52;0;0;0
328;173;0;173;119;2;15;15;20;2;0;0
329;181;0;181;82;30;14;13;39;0;2;1
330;267;2;265;109;44;32;30;49;0;0;1
331;274;6;268;105;57;17;42;46;1;0;0
332;211;2;209;73;48;17;25;41;3;0;2
333;256;1;255;86;68;25;12;63;1;0;0
334;258;6;252;98;52;18;14;69;0;0;1
335;305;1;304;115;67;24;37;58;2;1;0
336;239;5;234;70;55;16;30;56;6;1;0
337;248;1;247;104;48;18;23;54;0;0;0
338;194;2;192;36;94;12;9;40;1;0;0
339;227;0;227;84;47;13;32;50;0;1;0
340;185;0;185;70;46;20;25;23;0;0;1
341;241;0;241;104;43;20;23;46;2;2;1
401;242;0;242;68;54;23;28;67;0;0;2
402;270;0;270;101;67;22;27;52;1;0;0
403;246;0;246;90;74;18;19;42;0;2;1
404;232;12;220;65;55;20;23;47;2;5;3
405;174;2;172;103;34;10;6;16;0;0;3
406;233;0;233;61;74;31;8;59;0;0;0
407;200;2;198;49;76;17;7;47;2;0;0
408;281;0;281;106;70;20;19;61;1;1;3
409;210;1;209;51;74;18;6;59;0;0;1
410;226;2;224;29;98;19;2;74;1;0;1
411;223;1;222;33;105;23;2;56;0;2;1
412;215;8;207;73;61;25;8;37;0;2;1
413;250;7;243;76;84;20;14;43;2;3;1
414;208;0;208;68;71;19;14;33;2;0;1
415;234;3;231;53;100;16;9;53;0;0;0
416;190;2;188;24;103;11;4;44;0;1;1
417;248;1;247;44;130;11;4;58;0;0;0
418;180;1;179;27;76;12;3;58;1;2;0
419;183;3;180;14;100;16;6;43;0;1;0
420;289;6;283;47;145;22;13;52;3;1;0
421;223;4;219;47;84;12;7;68;0;0;1
422;169;2;167;49;50;15;1;51;0;0;1
423;211;1;210;48;88;27;3;43;0;1;0
424;213;2;211;67;36;8;28;64;7;0;1
425;253;0;253;68;78;24;23;59;1;0;0
426;234;0;234;60;66;17;23;64;0;3;1
427;211;1;210;70;41;14;20;64;1;0;0
428;218;0;218;55;66;14;33;48;0;2;0
429;197;0;197;49;68;17;16;43;0;1;3
430;205;17;188;34;90;19;7;36;0;2;0
431;242;2;240;70;73;21;26;47;0;0;3
432;204;1;203;41;84;18;13;46;0;0;1
433;212;0;212;44;67;5;45;49;0;2;0
434;190;0;190;54;59;18;5;51;2;0;1
435;207;2;205;52;81;16;14;40;1;0;1
436;293;4;289;81;87;22;29;65;3;2;0
437;277;5;272;92;69;22;31;56;1;0;1
438;234;3;231;61;83;18;14;51;1;2;1
439;194;32;162;35;53;18;5;51;0;0;0
440;170;10;160;28;58;14;9;50;0;0;1
441;211;8;203;79;60;7;10;46;1;0;0
442;324;5;319;92;104;21;14;85;0;1;2
501;197;9;188;61;63;11;11;40;1;1;0
502;167;1;166;33;63;14;5;48;0;3;0
503;190;1;189;41;72;18;4;52;0;0;2
504;226;4;222;50;82;17;3;69;0;1;0
505;241;0;241;59;73;28;19;60;0;1;1
506;207;1;206;53;85;21;5;37;1;3;1
507;222;0;222;63;71;21;7;56;1;1;2
508;214;1;213;39;91;24;2;55;1;1;0
509;226;20;206;38;66;24;9;65;1;1;2
510;231;0;231;64;87;10;13;55;0;2;0
511;192;8;184;41;63;17;5;57;0;0;1
512;127;2;125;11;58;10;5;40;0;0;1
513;251;3;248;76;92;23;13;43;1;0;0
514;249;6;243;64;93;16;11;59;0;0;0
515;177;1;176;55;51;16;6;39;6;2;1
516;257;0;257;46;80;17;21;90;1;1;1
517;203;0;203;84;51;14;7;44;0;1;2
518;210;0;210;82;52;26;7;40;2;0;1
519;145;4;141;28;40;9;9;54;0;1;0
520;191;2;189;56;45;15;22;49;1;1;0
521;95;1;94;32;30;10;4;18;0;0;0
522;265;0;265;63;102;30;14;56;0;0;0
523;221;4;217;54;72;26;12;49;3;0;1
524;162;1;161;73;52;4;7;22;1;1;1
525;203;2;201;61;35;11;33;57;1;1;2
526;297;11;286;84;69;18;43;71;1;0;0
527;238;2;236;50;67;17;18;79;0;3;2
528;267;5;262;63;66;24;33;72;1;2;1
529;214;2;212;62;53;22;18;54;1;0;2
530;231;5;226;81;55;21;14;53;1;1;0
531;249;0;249;86;75;18;16;51;0;0;3
532;239;3;236;83;72;15;21;45;0;0;0
533;192;7;185;61;53;14;13;42;1;0;1
534;210;0;210;74;59;16;17;43;1;0;0
535;209;1;208;78;44;13;21;49;1;1;1
536;191;0;191;53;63;20;15;40;0;0;0
537;164;2;162;53;51;16;7;35;0;0;0
538;246;8;238;59;79;31;25;41;1;1;1
539;216;1;215;73;62;20;11;49;0;0;0
601;232;1;231;62;84;21;12;51;0;0;1
602;223;2;221;89;61;15;13;43;0;0;0
603;223;0;223;27;100;18;2;75;1;0;0
604;268;2;266;89;87;16;19;50;2;0;3
605;191;1;190;80;34;19;17;40;0;0;0
606;273;6;267;87;70;20;28;60;0;1;1
607;227;0;227;90;54;18;8;54;0;0;3
608;246;3;243;82;62;19;21;52;2;4;1
609;236;10;226;81;53;14;20;57;0;0;1
610;284;1;283;93;63;14;46;61;3;1;2
611;205;23;182;36;64;19;13;47;1;1;1
612;250;20;230;98;46;24;20;41;0;0;1
613;286;1;285;103;47;16;43;71;3;0;2
614;268;0;268;100;67;19;33;48;0;0;1
615;199;0;199;54;58;20;11;55;0;0;1
616;194;2;192;78;43;16;17;34;1;1;2
617;250;0;250;95;44;18;27;63;0;0;3
618;243;1;242;66;83;15;25;51;1;1;0
619;249;1;248;78;56;21;27;64;1;0;1
620;246;0;246;88;37;17;38;64;2;0;0
621;218;10;208;66;37;17;27;60;0;1;0
622;244;0;244;85;43;21;34;59;1;1;0
623;244;0;244;74;58;15;35;62;0;0;0
624;238;1;237;82;40;21;22;70;0;0;2
625;185;0;185;64;50;16;12;43;0;0;0
626;231;0;231;67;44;14;31;71;1;1;2
627;274;0;274;101;36;25;29;83;0;0;0
628;255;2;253;80;70;17;19;64;2;0;1
629;231;2;229;78;46;17;23;61;2;0;2
630;290;4;286;98;45;26;33;82;0;0;2
631;231;3;228;74;50;13;22;65;2;2;0
632;189;3;186;84;16;12;17;56;0;1;0
633;256;2;254;89;56;19;20;69;0;1;0
634;195;1;194;56;63;12;13;50;0;0;0
635;236;6;230;48;59;20;33;67;0;1;2
636;218;1;217;54;74;12;22;54;0;0;1
637;169;1;168;46;48;13;16;42;2;0;1
638;150;1;149;32;49;26;6;35;1;0;0
639;228;0;228;60;84;21;13;47;2;1;0
640;182;1;181;24;80;16;2;55;0;4;0
641;237;1;236;39;102;24;8;61;2;0;0
642;198;4;194;23;76;24;3;68;0;0;0
643;194;3;191;26;88;14;4;56;0;0;3
644;201;2;199;24;93;18;5;59;0;0;0
645;254;1;253;51;96;29;16;59;0;2;0
646;206;0;206;51;96;11;9;39;0;0;0
647;176;1;175;31;77;13;5;48;0;0;1
648;231;2;229;42;98;15;13;57;1;1;2
649;293;0;293;75;106;21;14;76;0;1;0
650;297;1;296;106;90;10;30;57;1;0;2
701;180;2;178;33;84;9;3;49;0;0;0
702;189;17;172;33;48;15;9;66;1;0;0
703;247;0;247;87;79;33;4;43;1;0;0
704;186;2;184;39;75;14;8;48;0;0;0
705;247;0;247;76;72;33;18;46;2;0;0
706;268;0;268;121;69;16;14;47;1;0;0
707;241;2;239;109;53;16;11;50;0;0;0
708;240;2;238;82;66;16;14;55;3;1;1
709;305;3;302;119;95;16;19;50;1;1;1
710;239;4;235;91;88;14;9;32;0;1;0
711;350;1;349;95;154;27;17;55;0;1;0
712;300;4;296;126;83;27;14;43;1;0;2
713;275;1;274;106;89;18;15;43;2;0;1
714;324;1;323;119;87;29;23;61;2;0;2
715;288;6;282;149;45;23;12;52;0;1;0
716;252;0;252;96;77;13;8;58;0;0;0
717;253;5;248;54;97;21;23;53;0;0;0
718;290;4;286;99;113;17;14;40;1;0;2
719;298;2;296;82;122;27;5;59;0;0;1
720;327;0;327;88;150;34;4;47;4;0;0
721;267;3;264;54;128;15;7;59;1;0;0
801;297;16;281;109;45;46;20;58;0;1;2
802;297;1;296;98;83;23;28;61;2;0;1
803;283;2;281;121;43;19;43;54;1;0;0
804;305;3;302;133;44;36;35;49;1;0;4
805;303;3;300;114;58;21;57;46;2;2;0
806;295;8;287;138;51;11;35;51;1;0;0
807;314;2;312;91;70;9;78;61;1;2;0
808;324;4;320;138;45;27;40;68;0;1;1
809;364;0;364;196;25;27;43;69;2;0;2
810;292;0;292;149;35;23;38;46;1;0;0
811;375;2;373;172;50;30;51;65;2;0;3
812;342;0;342;158;64;21;43;51;1;4;0
813;350;3;347;163;64;32;30;56;1;1;0
814;351;0;351;122;78;27;30;90;0;3;1
815;294;0;294;152;47;16;27;50;1;1;0
816;353;3;350;132;65;16;53;80;2;2;0
817;322;0;322;144;52;17;34;73;0;1;1
818;286;0;286;111;53;22;41;54;0;3;2
819;336;3;333;135;105;8;30;48;0;3;4
820;363;0;363;163;69;25;27;75;1;0;3
821;307;1;306;146;59;10;33;57;0;0;1
901;307;2;305;132;54;23;33;61;0;0;2
902;317;6;311;146;74;18;29;42;0;2;0
903;304;1;303;144;38;18;38;63;1;1;0
904;281;0;281;105;62;28;23;60;3;0;0
905;287;1;286;106;67;32;20;58;3;0;0
906;323;4;319;165;46;35;29;41;3;0;0
907;302;0;302;118;55;33;21;70;1;2;2
908;391;4;387;204;51;34;39;54;2;1;2
909;263;0;263;123;38;28;28;42;3;0;1
910;301;0;301;150;53;31;33;33;0;1;0
911;225;2;223;88;20;10;35;68;0;1;1
912;266;8;258;135;27;32;18;46;0;0;0
913;272;1;271;151;29;16;27;41;4;3;0
914;266;2;264;117;41;27;30;48;0;0;1
915;286;1;285;122;43;29;27;62;2;0;0
916;217;3;214;89;37;12;21;51;0;0;4
917;239;0;239;95;59;14;26;43;1;0;1
918;246;0;246;102;34;30;38;40;1;0;1
919;269;0;269;130;43;19;20;57;0;0;0
920;251;15;236;80;49;27;33;44;1;1;1
921;286;0;286;164;29;26;17;46;2;1;1
1001;259;1;258;128;49;22;23;35;0;1;0
1002;264;1;263;118;58;15;27;44;0;0;1
1003;279;0;279;107;64;24;41;43;0;0;0
1004;203;1;202;79;49;12;16;45;1;0;0
1005;255;1;254;117;40;21;27;48;1;0;0
1006;151;0;151;71;30;18;16;14;1;1;0
1007;259;0;259;120;39;33;25;41;1;0;0
1008;318;5;313;133;63;16;44;55;1;0;1
1009;293;2;291;129;37;20;36;66;2;0;1
1010;250;0;250;104;52;15;24;50;1;1;3
1011;274;0;274;127;50;31;31;32;1;1;1
1101;299;1;298;193;35;33;8;29;0;0;0
1102;326;0;326;180;47;15;33;49;2;0;0
1103;265;3;262;104;50;14;28;62;2;0;2
1104;330;4;326;151;39;12;62;60;0;0;2
1105;361;0;361;172;50;17;42;77;3;0;0
1106;320;13;307;153;33;33;39;49;0;0;0
1107;330;5;325;179;36;25;32;52;0;0;1
1108;288;1;287;139;35;27;37;44;3;0;2
1109;373;4;369;158;48;23;50;83;1;1;5
1110;290;1;289;141;37;33;25;52;0;0;1
1111;291;2;289;130;39;12;36;67;4;0;1
1112;300;0;300;165;28;20;27;57;2;0;1
1113;266;2;264;136;21;27;23;56;0;0;1
1201;278;1;277;141;47;18;20;46;0;2;3
1202;300;6;294;156;58;20;14;43;1;1;1
1203;353;1;352;143;92;26;18;69;1;1;2
1204;320;2;318;121;68;31;31;63;2;2;0
1205;294;0;294;119;69;23;25;58;0;0;0
1206;244;0;244;119;55;19;16;32;1;0;2
1207;276;0;276;113;69;14;21;56;1;0;2
1208;303;2;301;141;50;19;20;67;3;0;1
1209;311;2;309;131;72;15;27;63;1;0;0
1210;266;3;263;111;50;20;18;59;0;4;1
1211;347;2;345;145;61;19;31;88;0;0;1
1212;295;1;294;131;62;31;22;44;2;0;2
1213;301;0;301;118;63;9;34;73;1;1;2
1214;293;0;293;111;64;19;38;59;0;2;0
1215;306;1;305;125;59;25;35;57;2;2;0
1216;243;0;243;74;79;11;17;57;1;0;4
1217;279;1;278;115;60;28;24;49;2;0;0
1218;344;1;343;127;82;23;37;72;0;1;1
1219;331;6;325;131;62;20;35;74;1;0;2
1220;294;1;293;100;78;35;25;49;1;4;1
1221;261;1;260;105;62;19;21;50;2;0;1
1222;327;2;325;137;77;20;33;56;0;1;1
1223;272;1;271;107;71;26;25;42;0;0;0
1224;264;0;264;86;78;9;32;59;0;0;0
1225;294;10;284;103;83;16;27;53;1;1;0
1226;230;1;229;98;80;14;11;26;0;0;0
1227;229;3;226;56;84;18;11;56;1;0;0
1228;279;3;276;101;89;27;16;42;0;0;1
1229;250;2;248;105;69;18;12;42;2;0;0
1230;245;11;234;63;45;13;51;61;0;0;1
