spatial_id;votes;invalid;valid;spoe;oevp;fpoe;gruene;kpoe;bzoe;cpg;piraten;ekw;wir;bbb
101;340;3;337;43;104;32;45;85;8;1;18;1;0;0
102;393;6;387;41;113;46;71;88;3;1;21;0;1;2
103;382;9;373;33;129;41;60;86;5;2;16;0;0;1
104;370;2;368;35;105;39;66;92;5;2;18;0;3;3
201;383;3;380;43;125;48;49;91;6;2;14;0;0;2
202;485;6;479;55;164;54;66;112;2;3;20;0;1;2
203;413;4;409;60;134;52;59;80;5;1;14;1;2;1
204;438;10;428;42;133;43;94;82;0;2;22;4;5;1
205;399;1;398;44;144;36;66;87;4;3;12;2;0;0
206;453;9;444;37;145;32;97;100;3;3;24;0;3;0
207;430;6;424;42;139;39;107;78;3;2;12;2;0;0
208;468;4;464;42;143;32;115;107;4;2;17;1;1;0
209;430;6;424;48;175;47;50;79;4;3;17;0;1;0
210;443;11;432;42;129;40;102;94;3;2;16;2;2;0
211;413;18;395;41;147;33;71;78;5;2;13;3;1;1
212;378;9;369;40;117;33;58;100;3;3;14;1;0;0
213;417;6;411;38;124;28;103;87;5;0;21;3;1;1
214;462;12;450;34;142;29;95;109;4;4;30;2;0;1
215;342;3;339;31;182;23;37;45;3;6;12;0;0;0
301;375;1;374;39;145;28;59;75;7;1;16;0;1;3
302;360;4;356;24;99;29;86;93;5;2;14;2;1;1
303;356;5;351;38;142;21;69;60;3;1;15;0;1;1
304;368;5;363;42;136;38;60;67;5;2;10;0;2;1
305;408;4;404;51;131;48;72;72;5;2;19;1;1;2
306;424;4;420;29;189;41;64;75;3;2;12;2;2;1
307;391;3;388;40;120;28;95;88;6;5;5;0;1;0
308;420;11;409;54;126;34;75;97;8;0;14;0;1;0
309;415;7;408;31;157;37;89;73;0;1;18;0;0;2
310;399;3;396;33;124;47;92;79;2;4;14;0;1;0
311;480;5;475;41;242;42;58;75;2;1;12;0;1;1
312;378;1;377;39;147;43;52;74;1;3;12;4;2;0
313;438;3;435;41;145;33;92;95;4;6;18;0;0;1
314;418;3;415;49;138;49;84;79;2;2;11;0;0;1
315;474;4;470;35;154;44;89;106;8;1;25;1;1;6
316;360;2;358;31;125;34;74;78;0;1;12;0;1;2
317;560;30;530;58;199;50;89;109;2;1;20;0;0;2
318;356;2;354;43;130;28;55;85;5;0;8;0;0;0
319;404;11;393;56;120;37;71;80;5;1;19;1;1;2
320;369;3;366;57;118;45;36;87;3;3;10;1;4;2
321;472;10;462;50;164;49;87;93;2;3;8;6;0;0
322;379;7;372;58;120;37;35;97;3;3;15;3;1;0
323;428;4;424;59;138;49;54;94;6;5;14;1;2;2
324;344;1;343;55;126;44;43;53;7;3;9;1;1;1
401;344;8;336;50;102;13;61;91;5;0;14;0;0;0
402;353;4;349;41;78;34;81;101;2;1;10;0;1;0
403;274;8;266;32;71;30;41;79;1;0;10;0;1;1
404;426;8;418;51;136;47;61;106;4;2;10;1;0;0
405;249;3;246;55;63;40;34;41;5;1;6;0;1;0
406;293;2;291;55;58;40;46;79;0;1;11;1;0;0
407;294;1;293;72;64;71;11;65;4;1;4;0;1;0
408;334;6;328;110;71;65;9;59;5;1;7;0;1;0
409;297;3;294;116;54;63;4;44;6;1;5;0;0;1
410;467;26;441;94;104;75;54;95;7;1;6;0;1;4
411;389;5;384;65;125;77;26;76;4;1;7;1;1;1
412;341;5;336;57;57;66;50;93;4;1;8;0;0;0
413;303;9;294;39;58;38;55;93;1;2;8;0;0;0
414;311;0;311;76;61;79;14;72;3;0;5;0;0;1
415;457;4;453;54;116;55;93;107;8;2;16;1;0;1
416;239;2;237;63;62;52;7;45;4;1;2;0;1;0
417;255;0;255;47;81;47;21;45;5;2;4;1;0;2
418;288;2;286;76;60;50;16;73;5;1;2;0;0;3
419;371;4;367;63;108;58;37;84;3;0;11;0;1;2
420;285;0;285;48;65;47;31;78;7;1;7;0;0;1
421;499;5;494;127;119;88;32;98;5;2;21;0;2;0
422;317;17;300;52;77;25;54;77;6;2;6;1;0;0
423;340;3;337;51;94;58;36;80;5;1;10;1;1;0
424;317;2;315;53;98;49;16;80;3;1;13;0;0;2
425;288;3;285;59;72;47;22;73;4;0;7;0;0;1
426;440;4;436;56;148;83;42;86;6;1;12;1;1;0
501;364;4;360;35;85;32;76;94;4;1;30;1;1;1
502;374;4;370;26;95;35;77;103;3;0;28;1;0;2
503;370;7;363;46;72;47;67;107;1;0;19;1;2;1
504;305;22;283;39;70;34;47;80;1;1;10;0;0;1
505;207;5;202;26;42;39;10;65;6;3;11;0;0;0
506;277;15;262;37;72;38;36;59;0;0;15;3;1;1
507;293;4;289;52;84;28;41;77;0;0;6;0;1;0
508;318;3;315;41;85;23;63;84;1;1;16;0;1;0
509;209;3;206;33;55;21;33;55;2;1;6;0;0;0
510;293;2;291;53;82;53;39;50;3;2;7;1;0;1
511;348;9;339;68;77;64;34;86;2;4;4;0;0;0
512;265;8;257;54;72;46;27;47;4;0;6;0;1;0
513;244;3;241;32;56;31;27;88;1;0;5;0;0;1
514;323;2;321;42;139;59;12;52;8;1;3;1;0;4
515;240;4;236;41;70;32;5;78;3;1;5;0;1;0
